file,gt_label,gt_source,gt_withheld_reason,support_level,support_note,A_label,A_tier,A_k1,A_margin,B_label,B_tier,B_r,B_gap,B_library,D_label,D_r,D_tier,ab_agree,gt_a_agree,gt_b_agree,xmethod_agree,gt_class_in_library,xmethod_metric_stable,date,station,particle,qc,wn_lo,wn_hi,unobservable_classes,top_peaks_cm1,png,wn_delta_applied,delta_version,excitation_nm,grating,spacing_med,center_cm1,wn_calibrated,wn_shift_comp,meas_time,raman_label_manual,raman_confidence_manual,diagnostic_bands_used,notes
0517S1-1.txt,polyolefin_PE,rule,,A+,both methods confident and in agreement,polyolefin_PE,confident,6,4,polyolefin_PE,confident,0.981,0.151,SLoPP,polyolefin_PE,0.928,confident,True,True,True,True,True,True,5.17,S1,1,ok,51.5,4280.0,,"590.3, 682.7, 747.7, 774.3, 838.5, 950.7, 1006.3, 1061.5, 1134.6, 1163.7, 1296.8, 1339.6, 1445.5, 1525.8, 1588.1, 1779.1, 2177.1, 2272.8, 2326.5, 2420.5, 2713.9, 2847.6, 2880.0, 3051.2, 3179.3",05.17_S1_1.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.103,2450.0,Not Calibrated,6.24107410652402,5/18/2026 2:50:28 PM,,,,
0626S1-4.txt,polyolefin_PE,rule,,A+,both methods confident and in agreement,polyolefin_PE,confident,6,5,polyolefin_PE,confident,0.802,0.111,SLoPP,polyolefin_PE,0.789,tentative,True,True,True,True,True,True,6.26,S1,4,ok,45.3,4273.8,,"824.7, 1007.5, 1062.6, 1128.4, 1294.2, 1365.3, 1442.8, 1526.5, 1643.7, 1749.2, 1952.9, 2093.4, 2132.2, 2291.9, 2439.1, 2473.2, 2592.8, 2632.3, 2716.6, 2847.3, 2879.6, 3073.6, 3223.7, 3444.6, 3536.5",06.26_S1_4.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,0.0,6/29/2026 10:40:57 AM,,,,
0628S1-5.txt,polyolefin_PE,rule,,A+,both methods confident and in agreement,polyolefin_PE,confident,5,4,polyolefin_PE,confident,0.936,0.217,SLoPP-E,polyolefin_PE,0.754,tentative,True,True,True,True,True,True,6.28,S1,5,ok,43.1,4271.6,,"445.2, 605.1, 682.0, 815.0, 1060.5, 1129.8, 1202.3, 1288.4, 1338.3, 1384.3, 1440.6, 1500.0, 1531.3, 1600.4, 1702.9, 1914.3, 2084.8, 2396.5, 2471.0, 2711.4, 2842.2, 2874.5, 3071.5, 3229.9, 3349.3",06.28_S1_5.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.103,2450.0,Not Calibrated,-2.18832763004934,6/29/2026 11:57:25 AM,,,,
0725S1-2.txt,polyolefin_PE,rule,,A+,both methods confident and in agreement,polyolefin_PE,confident,6,4,polyolefin_PE,confident,0.973,0.186,SLoPP-E,polyolefin_PE,0.888,confident,True,True,True,True,True,True,7.25,S1,2,Center=0 artifact(corr=-0.93),49.1,4277.6,,"572.3, 914.8, 1003.9, 1059.1, 1124.9, 1290.8, 1436.0, 1585.6, 1722.5, 1753.0, 1810.2, 1933.5, 2068.0, 2279.8, 2336.7, 2421.1, 2477.0, 2611.8, 2708.4, 2845.2, 2877.5, 3031.5, 3097.4, 3213.4, 3410.2",07.25_S1_2.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,3.76966265284682,7/27/2026 10:08:46 AM,,,,
0607S1-5.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,9,7,polyolefin_PP,confident,0.956,0.105,SLoPP,polyolefin_PP,0.789,tentative,True,True,True,True,True,True,6.07,S1,5,saturated(flat-top 22pt x 1),45.3,4273.8,,"171.9, 248.6, 320.7, 400.1, 455.3, 525.7, 809.6, 839.8, 896.0, 940.8, 970.5, 996.4, 1036.9, 1153.8, 1218.9, 1297.7, 1329.8, 1358.2, 1456.8, 2719.6, 2838.5, 2867.9, 2917.7, 2952.6, 3147.6",06.07_S1_5.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,0.0,6/8/2026 3:42:30 PM,,,,
0614S1-1.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,10,7,polyolefin_PP,confident,0.972,0.061,SLoPP-E,polyolefin_PP,0.914,confident,True,True,True,True,True,True,6.14,S1,1,ok,45.3,4273.8,,"400.1, 455.3, 529.6, 591.8, 684.2, 809.6, 839.8, 970.5, 1000.1, 1036.9, 1150.2, 1218.9, 1336.9, 1453.3, 1526.5, 1592.2, 1756.0, 2129.0, 2326.6, 2722.6, 2841.4, 2879.6, 2955.5, 3047.9, 3204.0",06.14_S1_1.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,0.0,6/15/2026 10:01:04 AM,,,,
0626S1-11.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,9,8,polyolefin_PP,confident,0.926,0.15,SLoPP-E,polyolefin_PP,0.701,tentative,True,True,True,True,True,True,6.26,S1,11,ok,42.7,4271.2,,"393.6, 807.1, 837.2, 967.9, 1034.4, 1154.9, 1212.7, 1252.2, 1284.5, 1327.2, 1355.6, 1390.9, 1454.2, 1506.6, 1593.1, 1746.6, 2084.4, 2320.9, 2647.8, 2714.0, 2835.9, 2877.0, 2952.9, 3204.3, 3463.7",06.26_S1_11.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.103,2450.0,Not Calibrated,-2.58049803898393,6/29/2026 11:23:59 AM,,,,
0626S1-3.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,9,7,polyolefin_PP,confident,0.968,0.086,SLoPP-E,polyolefin_PP,0.954,confident,True,True,True,True,True,True,6.26,S1,3,ok,45.3,4273.8,,"175.9, 400.1, 459.2, 595.6, 688.0, 749.0, 809.6, 843.6, 974.2, 1003.8, 1040.6, 1150.2, 1218.9, 1340.4, 1456.8, 1530.0, 1588.8, 1816.5, 2161.2, 2722.6, 2841.4, 2882.6, 2955.5, 3053.6, 3204.0",06.26_S1_3.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,0.0,6/29/2026 10:35:51 AM,,,,
0628S1-4.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,9,8,polyolefin_PP,confident,0.969,0.134,SLoPP,polyolefin_PP,0.779,tentative,True,True,True,True,True,True,6.28,S1,4,ok,43.1,4271.6,,"397.9, 453.1, 527.5, 682.0, 807.5, 837.6, 938.6, 972.0, 1034.8, 1155.3, 1216.7, 1284.8, 1327.6, 1356.0, 1454.6, 1503.5, 1534.7, 1753.8, 2094.5, 2645.2, 2717.4, 2836.3, 2877.4, 2953.3, 3210.3",06.28_S1_4.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.103,2450.0,Not Calibrated,-2.18832763004934,6/29/2026 11:53:26 AM,,,,
0712S1-12.txt,polyolefin_PP,rule,,A+,both methods confident and in agreement,polyolefin_PP,confident,9,7,polyolefin_PP,confident,0.96,0.1,SLoPP,polyolefin_PP,0.619,tentative,True,True,True,True,True,True,7.12,S1,12,ok,42.2,4270.7,,"393.0, 452.2, 526.5, 596.4, 806.5, 836.7, 896.7, 971.1, 1033.8, 1154.3, 1215.8, 1326.7, 1453.7, 1523.4, 1596.0, 1719.0, 1916.7, 2083.8, 2273.0, 2644.3, 2716.5, 2835.3, 2876.5, 2952.4, 3203.7",07.12_S1_12.png,0.0,instrument-internal Si shift (per-file); no post-hoc correction,532.08,300 gr/mm,3.104,2450.0,Not Calibrated,-3.12350317691846,7/13/2026 11:40:13 AM,,,,
